number,survey_id,push_id,crowd_id,crowd_name,record_id,q1_1.过去2年内，您购买过以下哪些产品？_手机贴膜,q1_2.过去2年内，您购买过以下哪些产品？_手机壳,q1_3.过去2年内，您购买过以下哪些产品？_手机充电线/数据线,q1_4.过去2年内，您购买过以下哪些产品？_充电宝/移动电源,q1_5.过去2年内，您购买过以下哪些产品？_无线蓝牙耳机,q1_6.过去2年内，您购买过以下哪些产品？_智能手表/手环,q1_7.过去2年内，您购买过以下哪些产品？_平板电脑,q1_8.过去2年内，您购买过以下哪些产品？_平板电脑保护套/壳,q1_9.过去2年内，您购买过以下哪些产品？_鼠标/机械键盘,q1_10.过去2年内，您购买过以下哪些产品？_贴片面膜,q1_11.过去2年内，您购买过以下哪些产品？_洗面奶/洁面乳,q1_12.过去2年内，您购买过以下哪些产品？_直升机,q1_13.过去2年内，您购买过以下哪些产品？_抽纸/卷纸,q1_14.过去2年内，您购买过以下哪些产品？_洗衣液/洗衣凝珠,q1_15.过去2年内，您购买过以下哪些产品？_T恤/裙子,q1_16.过去2年内，您购买过以下哪些产品？_运动鞋,q1_17.过去2年内，您购买过以下哪些产品？_薯片/膨化食品,q1_18.过去2年内，您购买过以下哪些产品？_奶茶/咖啡,q1_19.过去2年内，您购买过以下哪些产品？_室内绿植/花卉,q1_20.过去2年内，您购买过以下哪些产品？_桌面收纳,q2.您最近一次购买平板保护套大约是在什么时候？,q3.您最近购买的平板保护套单价大约是多少？,q4.您在购买该平板保护套时的决策角色是？,q5.您目前主要使用的平板电脑品牌是？,q6_1.您本人或您的亲友是否在以下行业工作？_市场研究/调研公司,q6_2.您本人或您的亲友是否在以下行业工作？_广告/公关/媒体传播机构,q6_3.您本人或您的亲友是否在以下行业工作？_数码配件生产、销售、运营相关行业,q6_4.您本人或您的亲友是否在以下行业工作？_新闻/报纸/电视台/自媒体,q6_5.您本人或您的亲友是否在以下行业工作？_互联网/IT/软件服务,q6_6.您本人或您的亲友是否在以下行业工作？_医疗/健康/生物制药,q6_7.您本人或您的亲友是否在以下行业工作？_教育/培训/科研,q6_8.您本人或您的亲友是否在以下行业工作？_以上均无,q7_1.过去3个月内，您参加过以下哪些类型的调研活动？_手机/数码配件类,q7_2.过去3个月内，您参加过以下哪些类型的调研活动？_汽车/交通出行类,q7_3.过去3个月内，您参加过以下哪些类型的调研活动？_食品/饮料/餐饮类,q7_4.过去3个月内，您参加过以下哪些类型的调研活动？_美妆/个人护理类,q7_5.过去3个月内，您参加过以下哪些类型的调研活动？_均未参加过,q8.您的最高学历是？,q9_1.您目前使用的平板保护套类型更接近以下哪一种？_单壳（不带盖板）保护套,q9_2.您目前使用的平板保护套类型更接近以下哪一种？_普通翻盖保护套,q9_3.您目前使用的平板保护套类型更接近以下哪一种？_ 磁吸不可拆分保护套,q9_4.您目前使用的平板保护套类型更接近以下哪一种？_旋转可拆分磁吸保护套,q9_5.您目前使用的平板保护套类型更接近以下哪一种？_带笔槽保护套,q9_6.您目前使用的平板保护套类型更接近以下哪一种？_键盘保护套,q9_7.您目前使用的平板保护套类型更接近以下哪一种？_透明/半透明保护壳,q9_8.您目前使用的平板保护套类型更接近以下哪一种？_不确定,q9_9.您目前使用的平板保护套类型更接近以下哪一种？_其他,q9_9_text.您目前使用的平板保护套类型更接近以下哪一种？_其他,q10_1.您购买平板保护套时，通常会关注哪些因素？_防摔防磕/保护性强,q10_2.您购买平板保护套时，通常会关注哪些因素？_支架稳定/角度好用,q10_3.您购买平板保护套时，通常会关注哪些因素？_触控笔收纳和拿取方便,q10_4.您购买平板保护套时，通常会关注哪些因素？_材质手感好,q10_5.您购买平板保护套时，通常会关注哪些因素？_不易沾指纹/不易显脏,q10_6.您购买平板保护套时，通常会关注哪些因素？_外观好看/有设计感,q10_7.您购买平板保护套时，通常会关注哪些因素？_颜色选择丰富,q10_8.您购买平板保护套时，通常会关注哪些因素？_轻薄便携,q10_9.您购买平板保护套时，通常会关注哪些因素？_品牌可信/品质稳定,q10_10.您购买平板保护套时，通常会关注哪些因素？_价格合适/性价比高,q10_11.您购买平板保护套时，通常会关注哪些因素？_耐用不易坏,q10_12.您购买平板保护套时，通常会关注哪些因素？_与平板搭配协调,q10_13.您购买平板保护套时，通常会关注哪些因素？_其他,q10_13_text.您购买平板保护套时，通常会关注哪些因素？_其他,q11_1.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_防摔防磕/保护性强,q11_2.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_支架稳定/角度好用,q11_3.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_触控笔收纳和拿取方便,q11_4.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_材质手感好,q11_5.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_不易沾指纹/不易显脏,q11_6.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_外观好看/有设计感,q11_7.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_颜色选择丰富,q11_8.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_轻薄便携,q11_9.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_品牌可信/品质稳定,q11_10.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_价格合适/性价比高,q11_11.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_耐用不易坏,q11_12.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_与平板搭配协调,q11_13.请基于上述关注的因素，将下列选项按重要性排序。 （拖动选项右边的滑块排序）_其他,q12.如果购买一款质量、保护性和外观设计都比较好的iPad平板保护套，在不考虑具体品牌和促销活动的情况下，以下哪个价格区间最符合您的日常心理预期？,q13.未来6个月内，您是否有购买或更换平板保护套的计划？,q14.下面是一款市面上常见的【普通款】旋转磁吸拆分平板保护壳，售价为99元。 该产品支持磁吸拆分、横竖屏旋转和日常支撑使用，可满足看剧、学习、办公等平板使用场景。请根据您自己的真实购买判断作答以下题目。,q15_1.如果您近期需要购买平板保护套，看到这款99元旋转磁吸拆分平板保护壳，您的购买意愿是？_ 购买意愿,q16_1.您认为这款99元旋转磁吸拆分平板保护壳对您的吸引力如何？_ 吸引力,q17_1.您觉得这款产品最吸引您的地方是？_可旋转使用,q17_2.您觉得这款产品最吸引您的地方是？_磁吸拆分方便,q17_3.您觉得这款产品最吸引您的地方是？_支撑看剧/学习/办公,q17_4.您觉得这款产品最吸引您的地方是？_价格合适,q17_5.您觉得这款产品最吸引您的地方是？_外观看起来简洁,q17_6.您觉得这款产品最吸引您的地方是？_保护性较好,q17_7.您觉得这款产品最吸引您的地方是？_品牌/品质感较好,q17_8.您觉得这款产品最吸引您的地方是？_没有特别吸引我的地方,q17_9.您觉得这款产品最吸引您的地方是？_其他,q17_9_text.您觉得这款产品最吸引您的地方是？_其他,q18.下面是一款在刚才99元【普通款】旋转磁吸拆分平板壳基础上进一步升级的新款产品。该【升级光面款】在保留磁吸拆分、横竖屏旋转和支撑使用功能的基础上，新增了以下三个升级点： ①四角气囊防护外显，提升防摔防磕的安全感； ②重新设计侧面直取笔槽，触控笔可从侧面直接拿取； ③提供更丰富、更个性化的配色选择。 请您先不考虑具体售价，只根据产品外观、功能和使用感受进行判断。,q19_1.不考虑价格，您对这款升级光面款平板保护套的购买意愿是？_ 购买意愿,q20_1.请评价以下升级点对您的吸引力。_四角气囊防护外显,q20_2.请评价以下升级点对您的吸引力。_侧面直取笔槽,q20_3.请评价以下升级点对您的吸引力。_更丰富、更个性化的配色选择,q21.相比刚才99元的【普通款】旋转磁吸拆分平板保护壳，如果新款增加“四角气囊防护外显、侧面直取笔槽、个性化配色”这三个升级点，您最多愿意多支付多少钱？,q22.如果这款升级光面款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q23.如果同一款升级光面款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q24.如果同一款升级光面款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q25.如果同一款升级光面款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q26.如果同一款升级光面款 iPad 平板保护套售价为 99.9 元，您的购买意愿是？,q27_text.您愿意或不愿意为这三个升级点多付钱的主要原因是什么,q28.下面是一款在刚才升级光面款基础上进一步升级的【光栅款】平板保护套。 它保留前面【升级光面款】的四角气囊防护外显、侧面直取笔槽和个性化配色，同时将背板进一步升级为光栅纹理背板，具有微磨砂质感，相比普通光面背板更不易沾指纹。 除背板材质和纹理表现外，其他主要功能与升级光面款基本一致。 请您先不考虑具体售价，只根据产品外观、材质和使用感受进行判断。,q29_1.不考虑价格，您对这款光栅款平板保护套的购买意愿是？_ 购买意愿,q30_1.请评价以下光栅背板特点对您的吸引力。_光栅纹理背板的视觉效果,q30_2.请评价以下光栅背板特点对您的吸引力。_微磨砂质感,q30_3.请评价以下光栅背板特点对您的吸引力。_相比普通光面背板更不易沾指纹,q30_4.请评价以下光栅背板特点对您的吸引力。_整体看起来更特别/更有设计感,q31.基于刚才的升级光面款，如果背板进一步升级为了现在这样“光栅纹理、微磨砂质感、不易沾指纹”，您最多愿意额外多支付多少钱？,q32.如果这款光栅款 iPad 平板保护套售价为 129.9 元，您的购买意愿是？,q33.如果这款光栅款 iPad 平板保护套售价为 139.9 元，您的购买意愿是？,q34.如果这款光栅款 iPad 平板保护套售价为 149.9 元，您的购买意愿是？,q35.如果这款光栅款 iPad 平板保护套售价为 119.9 元，您的购买意愿是？,q36.如果这款光栅款 iPad 平板保护套售价为 109.9 元，您的购买意愿是？,q37_text.您愿意或不愿意为光栅背板多付钱的主要原因是什么？,q38.如果品牌最终只能在以下两款新品中选择一款推出，您更希望购买哪一款？,q39_text.请简单说明您这样选择的主要原因。,q40.您购买数码配件时，是否愿意为外观设计、材质质感或颜色支付更高价格？,q41.您的性别是？,q42.您的年龄是？,q43.您目前的身份/职业是？,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
74,286083,726476,1024659,3C数码,88899941,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,,,9,1,5,8,6,3,10,4,,,7,2,,5,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,1,1,5,1,1,1,,,选择性多,1,1,1,1,1,1,5,1,1,1,,,使用感好,1,材质更加好,1,1,3,2,三线,偏高,未知,广东省,惠州市
75,286083,726476,1024659,3C数码,88899943,1,1,1,1,1,1,,1,1,1,1,,1,1,1,1,1,1,,1,1,7,1,1,,,,,,,,1,,,,,1,5,,,,1,,1,,,,,1,1,1,1,,,,,,,1,1,,,1,2,6,4,,,,,,,5,3,,6,2,1,1,1,1,1,1,1,,1,,,,,1,1,1,1,2,6,1,1,3,,, 嗯，我觉得就是有一点点超出了心理预期的价格，就觉得说不是太适合了，但是这一款我还是非常喜欢的，因为蓝色真的非常是我最喜欢的颜色，然后这款设计的包裹也非常好，觉得iPad很安全,1,2,2,2,2,2,7,2,4,,,,可能虽然亮面板会留下指纹，但这个光栅背板不是非常符合我的审美，所以我不会愿意多花钱,1,感觉两款的，不过是材质功能防护都差异不大，所以单从外观上判断的话，更喜欢光面的一点，我会因为光面多花一点钱吧，但是我能理解光栅的那个可能技术成本会更高一点,2,1,4,4,三线,偏高,"已婚,育婴期,已有房",广东省,汕头市
76,286083,726476,1024659,3C数码,88899965,1,1,,,,,1,1,,,,,,,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,4,1,1,,,1,,,,,,1,,,1,,,,1,1,1,,1,,,4,,,6,,,,5,1,2,,3,,5,2,1,2,2,1,1,1,,1,1,1,,,,1,2,2,2,2,3,2,2,2,,,实用性强,1,2,2,2,2,2,3,2,2,2,,,实用性强,3,实用性强,2,1,3,2,二线,偏低,单身,山东省,青岛市
77,286083,726476,1024659,3C数码,88899983,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,1,1,4,1,1,,,,,,,,1,,,,,1,5,,,1,1,1,1,1,,,,1,1,1,1,1,,,1,,,,1,,,1,6,2,4,7,,,3,,,,5,,4,1,1,1,2,1,1,,1,1,,1,,,,1,1,1,1,2,3,1,2,3,,,确实可以提升便利，防护好，使用方便,1,1,1,2,1,2,5,2,2,4,,,外观好看，能够防指纹是很大的改进,2,防指纹可以有助于更加美观，使用方便，价格合适，功能也齐备,2,1,3,4,三线,中等,"已婚,育婴期,已育,已有房,已有车",江苏省,扬州市
78,286083,726476,1024659,3C数码,88899986,,,,,,,,1,,,,,,,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,3,,,1,,,,,,,,1,,,1,,1,,1,,,,,,,1,,,4,,2,,3,,,,,,4,2,1,2,3,1,,,,,1,,,,,1,3,3,3,3,1,2,2,2,,,好看，是我喜欢的类型,1,4,4,4,3,4,2,4,,,5,5,不是很想,5,不想加钱,2,1,3,6,一线,中等,准备结婚期,上海,上海市
79,286083,726476,1024659,3C数码,88900321,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,7,1,1,,,,,,,,1,,,,,1,4,1,1,1,1,1,1,1,,,,,,1,,,,1,,,,1,,,,,,3,,,,1,,,,2,,,5,2,1,1,2,,1,,1,,1,,,,,1,1,2,1,2,3,1,2,3,,,好用的,1,2,1,4,1,2,4,2,1,2,,,好用的,3,好的,3,1,4,2,二线,中等,"准备结婚期,已有房",浙江省,杭州市
80,286083,726476,1024659,3C数码,88900324,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,7,1,1,,,,,,,,1,,,,,1,4,,1,1,1,,,1,,,,,,1,,,1,1,1,1,,,,,,,,3,,,5,2,1,4,,,,,6,1,1,2,1,,,1,1,,1,,,,,1,1,2,1,2,4,2,1,2,,,真的很喜欢,1,1,2,1,1,2,2,2,2,2,,,不喜欢这个家,3,喜欢这款产品,2,1,4,2,二线,偏低,单身,浙江省,杭州市
81,286083,726476,1024659,3C数码,88900332,1,1,,1,,1,,1,,1,1,,1,1,,,,,,,1,4,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,,1,,,,,1,,1,,,,1,2,,3,,,,,5,,4,,,4,2,1,2,2,1,1,,,1,,,,,,1,2,2,3,2,4,2,2,3,,,防护性更强 配色比较新颖让人舒适 与众不同,1,2,2,2,2,2,5,2,2,3,,,更加结实耐用 防滑 手爱出汗容易滑,2,更加结实耐用 性价比更高,2,1,3,2,二线,低,已婚,辽宁省,沈阳市
82,286083,726476,1024659,3C数码,88900333,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,7,1,1,,,,,,,,1,,,,,1,5,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,1,8,4,10,6,7,12,11,3,9,5,2,,7,1,1,1,2,1,1,1,1,1,1,1,,,,1,1,1,2,1,5,1,2,1,,,主要是能360度旋转，有功能我愿意购买，，主要是接受小付加价优先基础防护旋转,1,1,2,1,1,1,5,2,1,1,,,硬度高，防弯防护强，所以我愿意购买,2,主要是防摔保护作用很重要，容易清洁，好打理，然后轻薄不臃肿,1,1,4,3,五线,低,未知,山西省,晋城市
83,286083,726476,1024659,3C数码,88900356,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,,1,1,1,1,6,1,1,,,,,,,,1,,,,,1,4,,,1,1,,,,,,,1,1,,,1,,1,1,,,,,,,5,4,,,3,,1,2,,,,,,7,1,1,1,1,1,,1,,,,1,,,,1,1,1,1,1,6,1,1,1,,,外观特别不错 颜色特别好看 日常使用感不错,1,1,1,1,1,1,6,1,1,1,,,感觉质量特别好 非常满意的,1,感觉更加强烈推荐 非常满意的,1,1,3,3,三线,中等,"已婚,已育,已有房",江西省,南昌市
84,286083,726476,1024659,3C数码,88900360,1,,1,1,1,,1,1,,1,1,1,1,1,1,1,1,1,,1,1,7,1,1,,,,,,,,1,,,,,1,4,,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,10,4,8,7,6,12,5,1,3,9,11,2,,7,1,1,1,1,1,1,1,,1,1,,,,,1,1,1,3,2,6,1,1,1,,,方便实用，功能多 ，能保护平板，颜色也好看,1,1,1,2,2,1,6,1,1,2,,,觉得不是一定要具备的,1,方便拿取 ，也很好看,1,1,4,2,三线,低,未知,广东省,汕头市
85,286083,726476,1024659,3C数码,88900384,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,,1,,,,,,,1,1,,,,1,,,,,,,,,1,3,,,,2,,,,,,,,5,1,1,2,2,1,1,,,,,,,,,1,1,1,2,1,6,1,2,2,,,我愿意多付钱，因为更加防摔更安全，而且颜值也高,1,1,1,1,1,1,6,1,1,2,,,我愿意，因为更加防指纹，而且颜值也高,2,我喜欢防指纹的，而且这款好看很适合我,1,1,4,2,二线,偏低,"已婚,已育,已有房,已有车",江苏省,南京市
86,286083,726476,1024659,3C数码,88900406,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,1,,1,,,,,1,1,1,,,1,,,1,,1,,,,1,2,3,,,5,,,6,,4,,,5,1,1,1,1,1,,1,,1,1,1,,,,1,1,1,1,1,2,1,1,1,,,感觉还不错，比较满意,1,1,1,1,1,1,3,1,1,1,,,手感应该很不错，喜欢,1,质感很不错，功能好,1,1,3,4,二线,低,未知,重庆,重庆市
87,286083,726476,1024659,3C数码,88900446,1,1,,1,,,1,1,,1,1,,1,1,1,,1,,,,1,4,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,,1,1,,,1,1,,,1,,,1,6,,7,3,,,5,4,,,2,,4,2,1,1,1,1,1,,,,1,1,,,,1,1,1,1,1,3,1,2,3,,,升级点没有太吸引我,1,1,1,1,1,1,3,1,2,3,,,并没有增加外壳的保护功能,3,外观上的升级没有那么重要,2,1,4,4,二线,低,未知,江苏省,无锡市
88,286083,726476,1024659,3C数码,88900448,1,1,1,1,,,1,1,,,1,,1,1,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,4,,,1,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,11,9,8,10,4,1,3,6,5,7,2,12,,6,2,1,1,2,1,1,1,1,1,1,1,,,,1,1,2,1,2,6,2,2,2,,,日常使用体验来看，防护，笔槽设计，外观配色，这些感觉都挺不错的，升级点强化防护，可以更好的保护设备这些细节，提升能够长期的优化我的使用感受。我愿意支付,1,1,2,1,2,1,6,2,2,2,,,外观质感，防指纹，这些地方感觉会更特别，更耐看。喜欢的东西我都愿意为他多付钱,3,款我觉得都挺不错的，从外观材质，防护功能方面感觉都挺符合我的期待范围内的,2,1,4,3,三线,低,未知,浙江省,温州市
89,286083,726476,1024659,3C数码,88900466,1,1,1,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,1,1,1,,,,,,,,1,1,,1,1,,,1,,,1,,,,1,2,,5,4,,,3,,,6,,,5,1,1,2,2,1,1,,,,,,,,,1,2,2,2,3,4,2,2,4,,,升级点对我来说不是刚需 有很好 没有也不影响 适量加价可以 多了就算了,1,2,3,3,2,2,2,2,4,,,,没觉得有太多不同 也就是说这个设计对我来说可有可无,1,更简洁大方 性价比更高,2,1,3,2,二线,中等,"已婚,装修期,已有房",江苏省,南京市
90,286083,726476,1024659,3C数码,88900477,,,,1,1,1,1,,1,1,1,,1,1,1,,1,,1,,1,2,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,1,,1,,1,1,,,1,,,,1,3,4,,5,,7,2,,,6,,,2,1,1,2,2,1,1,,,1,,1,,,,1,1,1,2,1,3,2,3,,,,没有必要，这个价格还有更多更好的选择,1,2,2,3,2,2,3,3,,,4,2,没必要为了这个多付钱，也没什么功能,1,外观时尚潮流，配色清爽干净简洁,1,1,4,2,二线,中等,"已婚,育婴期,已育,装修期,已有房,已有车",浙江省,杭州市
91,286083,726476,1024659,3C数码,88900478,,1,,,,,1,1,,,1,,,1,,1,1,,,,1,5,1,1,,,,,,,,1,,,,,1,5,,1,,1,1,,,,,,1,1,1,,,1,,1,,,1,1,,,1,5,7,,,6,,2,,,3,4,,5,1,1,2,1,1,1,1,,,,,,,,1,1,1,1,1,6,1,1,2,,,防护到位，可以防摔减震，磁吸可拆卸旋转保护套符合我的需求,1,1,1,1,1,1,6,1,1,1,,,在光面版基础上，外观更好看了，不留指纹更吸引我,2,和光面有同样的基础，外观升级更喜欢，不留指纹,1,1,3,3,三线,低,未知,山东省,滨州市
92,286083,726476,1024659,3C数码,88900499,1,,1,1,,,1,1,,1,,,1,,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,4,,1,,,,,,,,,1,1,1,1,,1,,,,1,,,,,2,3,5,4,,6,,,,1,,,,5,1,1,1,1,1,1,,1,1,,,,,,1,1,1,1,2,6,1,1,2,,,防摔防护好，摄像头有保护,1,1,1,1,1,2,7,1,1,2,,,磨砂手感好，防指纹,2,磨砂手感好，防刮蹭防摔,1,1,2,6,三线,低,已婚,广东省,汕头市
93,286083,726476,1024659,3C数码,88900502,1,1,1,1,1,1,,1,,,1,,1,1,1,1,1,1,,1,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,,,,,,,1,,,1,,1,,,,1,1,,,,4,,,2,,1,,,,5,3,,,5,2,1,1,1,1,1,,1,1,,,,,,1,2,2,1,1,3,1,3,,,,保护性能提升，愿意多付，升级光面反而更容易刮花护套，后期不好看,1,4,5,2,1,3,2,4,,,2,,光栅不好看,4,光面会刮花，光栅整体的视觉不好看,2,1,3,4,四线,中等,"准备结婚期,育婴期,已有车",福建省,宁德市
94,286083,726476,1024659,3C数码,88900505,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,,1,1,5,1,1,,,,,,,,1,,,,,1,5,,,,1,1,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,1,4,7,9,3,8,11,5,10,,2,6,,6,1,1,2,2,1,1,,,1,1,1,,,,1,1,1,2,1,5,2,2,2,,,配色清爽，拿去触控笔很方便，旋转多角度，支撑更牢固,1,2,1,1,1,2,6,1,1,2,,,防指纹效果好，更炫彩，质感更舒适,2,材质更舒适服帖，更有质感，防护更稳固，使用触控笔更方便,1,1,3,4,四线,偏高,"已婚,育婴期,已育,已有房,已有车",江苏省,连云港市
95,286083,726476,1024659,3C数码,88900507,1,,1,,1,,,1,,,,,,,,,,,,,1,5,1,1,,,,,,,,1,,,,,1,5,,,1,,,,,,,,1,1,,,,1,,1,,1,1,,,,1,2,,,,6,,3,,4,5,,,5,3,1,2,2,1,1,,,,1,,,,,1,2,1,2,3,3,2,2,3,,,有些功能我不需要,1,3,4,4,3,3,1,4,,,4,2,不选这个样子，不在审美点,1,价格合适且喜欢这个外观,2,1,5,4,五线,偏低,"已婚,已有房,已有车",青海省,西宁市
96,286083,726476,1024659,3C数码,88900528,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,,2,5,9,7,3,10,8,4,6,12,11,1,,5,1,1,1,2,1,1,1,,1,,1,1,,,1,1,2,2,2,3,1,2,2,,,如果防护好或者耐磨的话可以多付点钱,1,2,2,2,1,1,2,2,2,2,,,不容易有指纹,2,不容易有指纹,1,1,3,3,二线,中等,未知,江苏省,苏州市
97,286083,726476,1024659,3C数码,88900533,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,3,1,1,,,,,,,,1,,,,,1,5,,,1,,,1,,,,,1,1,1,1,,,,,,,,,,,1,4,2,3,,,,,,,,,,2,1,1,2,2,1,1,,,,1,,,,,1,2,3,2,3,2,3,,,2,,用不上，感觉没必要,1,1,2,2,2,2,3,3,,,2,,性价比不高,1,性价比高，好看,2,1,4,2,二线,偏低,"已婚,已育,已有房,已有车",辽宁省,大连市
98,286083,726476,1024659,3C数码,88900537,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,,,,1,,,,,,,1,1,,1,1,1,,,,,,,,,2,1,,3,4,5,,,,,,,4,2,1,2,2,1,1,,,1,,,,,,1,2,1,1,1,5,1,2,4,,,价格太贵，溢价太高了,1,2,3,3,3,3,1,4,,,4,2,不太喜欢这款设计。,1,更喜欢这样子的设计。,2,2,3,2,五线,偏低,"恋爱期,育婴期,已育,装修期,已有车",广西壮族自治区,南宁市
99,286083,726476,1024659,3C数码,88900540,,1,1,1,,,,1,,,1,,1,1,1,1,1,1,,,1,2,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,1,,,,,1,,,1,,,,1,2,3,,,,,5,,,4,,,2,2,1,1,1,1,1,,,1,1,,,,,1,1,1,2,2,2,2,2,2,,,外观的颜色设计不是很符合我的品味,1,2,2,1,1,1,4,2,2,2,,,我比较看重外观图案,2,不沾指纹这点很吸引我，希望有可爱的外观供选择,1,1,3,2,二线,低,未知,天津,天津市
100,286083,726476,1024659,3C数码,88900552,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,1,1,5,1,1,,,,,,,,1,,,,,1,4,,1,1,,1,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,4,7,5,2,6,10,11,8,1,,9,3,,5,1,1,1,1,1,1,1,1,1,1,1,,,,1,1,1,1,1,6,1,1,2,,,感觉120左右还能接受，贵的太多就觉得不太值得了,1,2,2,2,1,2,3,1,2,2,,,感觉不是特别好看,1,感觉外观更好看一点，整体又有升级,1,1,3,4,六线,偏低,"已婚,已育,已有房,已有车",安徽省,淮北市
101,286083,726476,1024659,3C数码,88900568,1,1,1,,,,,1,,,,,,,,,,,,,1,5,1,1,,,,,,,1,,,,,,1,4,,,,1,,,,,,,1,1,1,,1,,,,,1,1,,,,1,4,3,,2,,,,,6,5,,,5,1,1,1,1,1,1,,,,1,,,,,1,1,1,1,1,4,2,2,2,,,愿意，使用方便配色协调，外观好看,1,1,1,1,1,1,4,2,2,2,,,愿意，外观好看，质感很好，值得加钱,2,不沾指纹，质感很好，防护性强,1,1,4,4,四线,低,未知,河南省,焦作市
102,286083,726476,1024659,3C数码,88900576,,,1,,,,1,1,,,1,,1,1,1,,1,,,1,1,5,1,1,,,,,,,,1,,,,,1,4,,1,,,1,,1,,,,1,1,1,1,1,1,1,1,,,,1,,,1,3,5,7,6,4,9,2,,,,8,,5,2,1,2,2,1,1,,,,1,,,,,1,2,2,1,2,4,2,3,,,,笔槽便利，颜色好看。,1,2,2,2,1,2,4,2,2,3,,,特别，有质感，使用方便。,2,更加符合贴合个人使用习惯。,2,1,3,6,一线,中等,未知,广东省,深圳市
103,286083,726476,1024659,3C数码,88900583,1,1,1,1,,,1,1,1,1,1,,1,1,1,1,1,1,,1,1,3,1,1,,,,,,,,1,,,,,1,4,,,1,,,,,,,,1,1,,1,1,1,,1,1,1,1,,,,1,2,,6,5,9,,4,8,7,3,,,3,1,1,2,2,1,1,1,,,1,,,,,1,2,2,2,3,3,2,3,,,,价格高于的心理价位,1,2,1,1,2,2,3,2,3,,,,价格略微高了些,2,磨砂手感、不留指纹，这个设计是我想要的,2,1,5,2,一线,偏高,"已婚,已育,已有房,已有车",上海,上海市
