编号,记录ID,投放ID,人群ID,人群名称,多选题,单选题,单选题,单选题,单选题,多选题,多选题,单选题,多选题,多选题,排序题,单选题,单选题,单选题,单选矩阵题,单选矩阵题,多选题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选矩阵题,单选矩阵题,单选题,单选题,单选题,单选题,单选题,单选题,多行文本题,单选题,单选题,多行文本题,单选题,单选题,单选题,单选题,城市等级,购买力等级,人生阶段,常用收货省份,常用收货城市
50,是,88899621,726476,1024659,"贴片面膜,抽纸/卷纸,智能手表/手环,运动鞋,鼠标/机械键盘,T恤/裙子,奶茶/咖啡,平板电脑,无线蓝牙耳机,洗面奶/洁面乳,桌面收纳,充电宝/移动电源,洗衣液/洗衣凝珠,薯片/膨化食品,平板电脑保护套/壳,室内绿植/花卉,手机充电线/数据线,手机壳,手机贴膜",近12个月内,100–119元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,带笔槽保护套","防摔防磕/保护性强,外观好看/有设计感,颜色选择丰富,品牌可信/品质稳定,价格合适/性价比高","防摔防磕/保护性强,外观好看/有设计感,颜色选择丰富,价格合适/性价比高,品牌可信/品质稳定",100-119元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,保护性较好,价格合适,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付6-10元,肯定会购买,肯定会购买,可能会购买,-,-,质量好，用得好，肺超白玻璃,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付11-15元,肯定会购买,肯定会购买,可能会购买,-,-,可能不太已过,8.38s,两款都可以，没有明显偏好,非常实用好用，质量好的,经常会,女,25-30岁,学生,三线,偏高,"已婚,育婴期,已育,已有房,已有车,孝敬期",江苏省,盐城市
51,是,88899625,726476,1024659,"手机贴膜,平板电脑保护套/壳,手机充电线/数据线",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,教育/培训/科研,均未参加过,本科,旋转可拆分磁吸保护套,"防摔防磕/保护性强,不易沾指纹/不易显脏,触控笔收纳和拿取方便,价格合适/性价比高,与平板搭配协调","不易沾指纹/不易显脏,防摔防磕/保护性强,触控笔收纳和拿取方便,与平板搭配协调,价格合适/性价比高",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,保护性较好,可旋转使用,价格合适",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,愿意，防护性能强，外观好看，使用方便,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,愿意，外观好看，质感很好，防护性能强,38.93s,光栅款,愿意，外观好看，防护性能强，值得加钱,经常会,女,31-35岁,专业人士,四线,低,"已婚,已育,已有车",河南省,焦作市
52,是,88899627,726476,1024659,"平板电脑,平板电脑保护套/壳,无线蓝牙耳机,智能手表/手环,手机充电线/数据线,充电宝/移动电源,手机贴膜,鼠标/机械键盘",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"磁吸不可拆分保护套,带笔槽保护套,普通翻盖保护套","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,轻薄便携,价格合适/性价比高,与平板搭配协调","防摔防磕/保护性强,轻薄便携,支架稳定/角度好用,与平板搭配协调,触控笔收纳和拿取方便,价格合适/性价比高",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"保护性较好,可旋转使用,磁吸拆分方便",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];更丰富、更个性化的配色选择: [非常吸引];侧面直取笔槽: [非常吸引],愿意多付16-20元,肯定会购买,可能会购买,说不清,-,-,更加具有保护性 笔槽更方便取 更方便日常使用,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [一般],愿意多付11-15元,可能会购买,可能不会购买,-,-,-,防指纹的意义不大,13.54s,升级光面款,比较喜欢简洁的光面背板,有时会,女,25-30岁,其他,二线,偏低,未知,江苏省,南京市
53,是,88899631,726476,1024659,"室内绿植/花卉,洗面奶/洁面乳,充电宝/移动电源,无线蓝牙耳机,运动鞋,洗衣液/洗衣凝珠,T恤/裙子,平板电脑保护套/壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,"普通翻盖保护套,磁吸不可拆分保护套,带笔槽保护套","防摔防磕/保护性强,支架稳定/角度好用,材质手感好,外观好看/有设计感,颜色选择丰富,与平板搭配协调","防摔防磕/保护性强,材质手感好,支架稳定/角度好用,与平板搭配协调,颜色选择丰富,外观好看/有设计感",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,外观看起来简洁",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,肯定会购买,可能会购买,说不清,-,-,120以内差不多了,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,肯定会购买,可能会购买,说不清,-,-,太贵了,4.15s,光栅款,看起来符合我要求,经常会,女,31-35岁,专业人士,二线,偏低,"已婚,育婴期,已育,已有房",陕西省,西安市
54,是,88899638,726476,1024659,"手机贴膜,平板电脑,手机壳,充电宝/移动电源,洗衣液/洗衣凝珠,运动鞋,T恤/裙子,手机充电线/数据线,抽纸/卷纸,平板电脑保护套/壳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,磁吸不可拆分保护套","防摔防磕/保护性强,耐用不易坏,轻薄便携,材质手感好","轻薄便携,防摔防磕/保护性强,材质手感好,耐用不易坏",120-149元,可能会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,保护性较好",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能不会购买,-,-,和刚刚普通版的功能相差不大，没必要花更多钱,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能不会购买,-,-,相差不大和之前的，功能没有特别,22.28s,升级光面款,光面更美观，防护更好，材质更舒服,有时会,女,31-35岁,企业职员,一线,低,"准备结婚期,育婴期,已有房",广东省,广州市
55,是,88899641,726476,1024659,"手机贴膜,贴片面膜,抽纸/卷纸,手机充电线/数据线,充电宝/移动电源,鼠标/机械键盘,洗面奶/洁面乳,平板电脑保护套/壳,手机壳,奶茶/咖啡,运动鞋,洗衣液/洗衣凝珠,平板电脑,T恤/裙子,桌面收纳,薯片/膨化食品",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"防摔防磕/保护性强,支架稳定/角度好用,价格合适/性价比高,轻薄便携,材质手感好","防摔防磕/保护性强,价格合适/性价比高,轻薄便携,材质手感好,支架稳定/角度好用",80-99元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"可旋转使用,保护性较好,磁吸拆分方便",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,可能会购买,可能会购买,可能会购买,-,-,四角防护,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,可能会购买,可能会购买,可能不会购买,-,-,全方位防护,25.38s,升级光面款,价格适中,有时会,女,25-30岁,企业职员,三线,偏低,"已婚,已育,装修期,已有房,已有车",广东省,惠州市
56,是,88899652,726476,1024659,"手机充电线/数据线,抽纸/卷纸,手机贴膜,平板电脑,室内绿植/花卉,T恤/裙子,手机壳,平板电脑保护套/壳,薯片/膨化食品,无线蓝牙耳机,运动鞋,奶茶/咖啡,鼠标/机械键盘,贴片面膜,充电宝/移动电源,洗衣液/洗衣凝珠,洗面奶/洁面乳,桌面收纳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"带笔槽保护套,普通翻盖保护套,透明/半透明保护壳","防摔防磕/保护性强,轻薄便携,耐用不易坏,不易沾指纹/不易显脏,支架稳定/角度好用,触控笔收纳和拿取方便,与平板搭配协调,外观好看/有设计感,材质手感好","防摔防磕/保护性强,支架稳定/角度好用,轻薄便携,耐用不易坏,触控笔收纳和拿取方便,不易沾指纹/不易显脏,材质手感好,与平板搭配协调,外观好看/有设计感",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,保护性较好,支撑看剧/学习/办公,外观看起来简洁,品牌/品质感较好,价格合适",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,非常愿意为这三个升级点多付钱，防摔性能大大增强，笔槽也很方便，配色也很特别，但是价格如果高出太多就要考虑一下了,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,可能会购买,-,-,质感更好，显得上档次，防指纹效果更好，非常乐意加钱购买,30.23s,光栅款,光栅款背面纹理显得更有质感，磨砂手感不易粘指纹，高级上档次，颜色也鲜艳，会更醒目，防护效果也不错，个人觉得可以加钱购买,经常会,女,25-30岁,专业人士,四线,偏低,"准备结婚期,已育,已有车",山东省,菏泽市
57,是,88899654,726476,1024659,"室内绿植/花卉,T恤/裙子,手机贴膜,手机充电线/数据线,薯片/膨化食品,智能手表/手环,运动鞋,桌面收纳,无线蓝牙耳机,鼠标/机械键盘,平板电脑保护套/壳,抽纸/卷纸,平板电脑,洗衣液/洗衣凝珠,洗面奶/洁面乳,奶茶/咖啡,手机壳,充电宝/移动电源,贴片面膜",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,带笔槽保护套","防摔防磕/保护性强,材质手感好,不易沾指纹/不易显脏,轻薄便携,外观好看/有设计感,耐用不易坏,支架稳定/角度好用","防摔防磕/保护性强,轻薄便携,外观好看/有设计感,不易沾指纹/不易显脏,材质手感好,耐用不易坏,支架稳定/角度好用",80-99元,肯定会,我已认真阅读,购买意愿: [说不清],吸引力: [一般],外观看起来简洁,我已认真阅读,购买意愿: [说不清],四角气囊防护外显: [不太吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [一般],不愿意多付钱,可能不会购买,-,-,可能不会购买,可能不会购买,不喜欢这个颜色 没有特别原因,我已认真阅读,购买意愿: [肯定不会购买],光栅纹理背板的视觉效果: [一般];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],不愿意多付钱,可能不会购买,-,-,可能不会购买,可能不会购买,不喜欢蓝色,6.08s,两款都可以，没有明显偏好,不喜欢颜色，更喜欢透色或者其他图案款式,有时会,女,36-40岁,企业职员,一线,偏低,"已婚,育婴期,已育,已有房,已有车",北京,北京市
58,是,88899661,726476,1024659,"充电宝/移动电源,鼠标/机械键盘,贴片面膜,平板电脑,平板电脑保护套/壳,薯片/膨化食品,手机壳,手机贴膜,室内绿植/花卉,T恤/裙子,抽纸/卷纸,智能手表/手环,桌面收纳,无线蓝牙耳机,奶茶/咖啡,洗衣液/洗衣凝珠,洗面奶/洁面乳,运动鞋,手机充电线/数据线",近12个月内,80–99元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,键盘保护套,"支架稳定/角度好用,防摔防磕/保护性强,材质手感好,轻薄便携,品牌可信/品质稳定,耐用不易坏,与平板搭配协调,外观好看/有设计感,颜色选择丰富,价格合适/性价比高","防摔防磕/保护性强,耐用不易坏,支架稳定/角度好用,轻薄便携,材质手感好,品牌可信/品质稳定,与平板搭配协调,外观好看/有设计感,颜色选择丰富,价格合适/性价比高",100-119元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"保护性较好,价格合适,可旋转使用,磁吸拆分方便,外观看起来简洁,支撑看剧/学习/办公",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,肯定会购买,可能会购买,可能会购买,-,-,磁吸分离，颜色丰富，防光滑面,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,可能会购买,-,-,防指纹,14.91s,光栅款,不粘指纹，视觉触觉更好,经常会,男,31-35岁,企业职员,一线,偏低,"单身,装修期,已有车",广东省,广州市
59,是,88899674,726476,1024659,"室内绿植/花卉,抽纸/卷纸,平板电脑保护套/壳,手机贴膜,手机壳,贴片面膜,手机充电线/数据线,充电宝/移动电源,无线蓝牙耳机,桌面收纳",近12个月内,100–119元,主要由我自己决定，偶尔参考他人意见,Apple（苹果）,以上均无,均未参加过,本科,键盘保护套,"支架稳定/角度好用,材质手感好,不易沾指纹/不易显脏,颜色选择丰富,品牌可信/品质稳定,耐用不易坏,防摔防磕/保护性强","品牌可信/品质稳定,不易沾指纹/不易显脏,耐用不易坏,材质手感好,防摔防磕/保护性强,支架稳定/角度好用,颜色选择丰富",80-99元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],"磁吸拆分方便,外观看起来简洁,保护性较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,肯定会购买,可能不会购买,-,-,-,我愿意为升级点多付费用。首先，升级的防护设计能更好地保护平板，减少摔落、磕碰带来的维修风险，用起来更安心；其次，优化后的笔槽设计能让Apple Pencil收纳更稳妥，不容易丢失，日常学习办公时随取随用也更方便；另外，升级后的外观和配色质感更好，背板也不容易发黄，长时间使用也能保持平板的颜值，整体使用体验提升明显，多花的钱能换来更省心耐用的体验，我觉得是值得的。,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [一般];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [一般],愿意多付5元以内,可能不会购买,-,-,可能会购买,-,我对升级点的付费意愿比较中立。如果升级后的防护、笔槽优化能解决我实际使用中的痛点，比如笔容易掉、防护边角容易磨损等问题，并且升级后的价格在合理范围内，我会考虑多付一点费用；但如果升级的功能只是锦上添花，没有解决核心使用问题，或者加价幅度太高，我还是会选择基础款，毕竟99元的基础款已经能满足我日常看剧、学习的大部分需求。,2.57s,升级光面款,我愿意为升级点多付费用。首先，升级的防护设计能更好地保护平板，减少摔落、磕碰带来的维修风险，用起来更安心；其次，优化后的笔槽设计能让Apple Pencil收纳更稳妥，不容易丢失，日常学习办公时随取随用也更方便；另外，升级后的外观和配色质感更好，背板也不容易发黄，长时间使用也能保持平板的颜值，整体使用体验提升明显，多花的钱能换来更省心耐用的体验，我觉得是值得的。,经常会,女,25-30岁,企业职员,三线,中等,"准备结婚期,已有房,已有车",广东省,汕头市
60,是,88899680,726476,1024659,"平板电脑保护套/壳,手机壳,洗面奶/洁面乳,抽纸/卷纸,T恤/裙子,运动鞋,无线蓝牙耳机,鼠标/机械键盘,奶茶/咖啡,充电宝/移动电源,桌面收纳,薯片/膨化食品,洗衣液/洗衣凝珠,手机充电线/数据线",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,普通翻盖保护套,磁吸不可拆分保护套","防摔防磕/保护性强,材质手感好,支架稳定/角度好用,轻薄便携,价格合适/性价比高,耐用不易坏","防摔防磕/保护性强,轻薄便携,材质手感好,耐用不易坏,价格合适/性价比高,支架稳定/角度好用",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,价格合适,保护性较好,外观看起来简洁",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [一般];更丰富、更个性化的配色选择: [比较吸引],愿意多付11-15元,可能会购买,说不清,-,-,-,我不需要放笔的笔槽，外观也没有太吸引的地方,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,说不清,-,-,-,光栅背板看起来很吸引人，不易沾指纹是我需要的,52.01s,光栅款,外观吸引我，不易沾指纹是我需要的功能,有时会,女,25-30岁,其他,一线,偏低,"已婚,育婴期,已育,装修期,已有房,已有车",广东省,深圳市
61,是,88899684,726476,1024659,"平板电脑保护套/壳,抽纸/卷纸,奶茶/咖啡,薯片/膨化食品,贴片面膜,洗衣液/洗衣凝珠,T恤/裙子,平板电脑,洗面奶/洁面乳,手机壳,手机充电线/数据线,桌面收纳,运动鞋",近12个月内,50–79元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"不易沾指纹/不易显脏,外观好看/有设计感,材质手感好,支架稳定/角度好用,防摔防磕/保护性强,品牌可信/品质稳定,与平板搭配协调","外观好看/有设计感,支架稳定/角度好用,材质手感好,防摔防磕/保护性强,不易沾指纹/不易显脏,与平板搭配协调,品牌可信/品质稳定",50-79元,肯定会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便",我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,可能会购买,可能会购买,说不清,-,-,看起来颜色更丰富，放笔的卡槽看起来也很方便，功能性增加了,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [一般];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [一般];微磨砂质感: [比较吸引],不愿意多付钱,可能会购买,可能不会购买,-,-,-,感觉好像没有太大区别的样子,11.39s,两款都可以，没有明显偏好,我喜欢材质看起来更好的，更不粘灰，容易拆下来清洁平板的,有时会,女,25-30岁,专业人士,三线,中等,"已婚,育婴期,已育,已有房,已有车",浙江省,金华市
62,是,88899695,726476,1024659,"平板电脑保护套/壳,手机壳,鼠标/机械键盘,桌面收纳",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,硕士及以上,"普通翻盖保护套,旋转可拆分磁吸保护套,带笔槽保护套,键盘保护套,透明/半透明保护壳","防摔防磕/保护性强,支架稳定/角度好用,触控笔收纳和拿取方便,与平板搭配协调,耐用不易坏,轻薄便携,材质手感好","轻薄便携,防摔防磕/保护性强,耐用不易坏,触控笔收纳和拿取方便,支架稳定/角度好用,材质手感好,与平板搭配协调",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,磁吸拆分方便,支撑看剧/学习/办公,外观看起来简洁,保护性较好,价格合适,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,肯定会购买,肯定会购买,肯定会购买,-,-,啊，使用起来很方便，能够旋转，还有磁吸能够支撑起来看剧，而且外观看起来很简洁，主要是品质也很好,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付21元及以上,肯定会购买,肯定会购买,肯定会购买,-,-,  这个一机多体态，随取随用，这个，而且它的设计比较好，不会让平板掉地下摔坏，所以我愿意去选它,74.52s,升级光面款,我喜欢它的这个一机多体态，能够随时取随时用嗯，还能有防震的效果，防摔的效果手感也好,经常会,女,25-30岁,其他,二线,偏低,未知,吉林省,长春市
63,是,88899699,726476,1024659,"平板电脑保护套/壳,智能手表/手环,手机壳,手机充电线/数据线,无线蓝牙耳机,充电宝/移动电源,平板电脑",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"单壳（不带盖板）保护套,磁吸不可拆分保护套,透明/半透明保护壳","防摔防磕/保护性强,不易沾指纹/不易显脏,轻薄便携,价格合适/性价比高,材质手感好,支架稳定/角度好用,耐用不易坏,品牌可信/品质稳定","价格合适/性价比高,品牌可信/品质稳定,材质手感好,轻薄便携,支架稳定/角度好用,不易沾指纹/不易显脏,耐用不易坏,防摔防磕/保护性强",120-149元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"可旋转使用,价格合适,外观看起来简洁,保护性较好,磁吸拆分方便",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,肯定会购买,可能会购买,可能会购买,-,-,这个价格在我的考虑范围内，然后这三个升级点我觉得非常实在，保护性能很不错,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [比较吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付11-15元,肯定会购买,肯定会购买,可能会购买,-,-,价格贵了一点，相对别的品牌的,10.71s,两款都可以，没有明显偏好,希望价格和实用性可以更有性价比,经常会,女,31-35岁,自由职业/个体经营,二线,低,"已婚,育婴期,已育",湖北省,武汉市
64,是,88899700,726476,1024659,"抽纸/卷纸,无线蓝牙耳机,洗衣液/洗衣凝珠,鼠标/机械键盘,充电宝/移动电源,平板电脑保护套/壳,手机充电线/数据线,运动鞋,洗面奶/洁面乳,平板电脑",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,旋转可拆分磁吸保护套","材质手感好,品牌可信/品质稳定,防摔防磕/保护性强","品牌可信/品质稳定,防摔防磕/保护性强,材质手感好",120-149元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [非常吸引],"品牌/品质感较好,可旋转使用,支撑看剧/学习/办公",我已认真阅读,购买意愿: [可能会购买],侧面直取笔槽: [比较吸引];四角气囊防护外显: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付16-20元,可能会购买,可能会购买,肯定会购买,-,-,这三个升级点真的很不错哦，看上去特别喜欢这个风格的感觉,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付16-20元,可能会购买,肯定会购买,可能会购买,-,-,光栅背板符合我的理念，真的很喜欢这个风格的感觉,49.06s,光栅款,看上去很不错的样子呢，哈哈真的很喜欢这个，yyds！,有时会,女,31-35岁,专业人士,一线,偏低,"已婚,育婴期,已育,已有车",上海,上海市
65,是,88899703,726476,1024659,"平板电脑,抽纸/卷纸,奶茶/咖啡,薯片/膨化食品,手机充电线/数据线,桌面收纳,无线蓝牙耳机,手机壳,平板电脑保护套/壳,充电宝/移动电源,T恤/裙子,手机贴膜,洗衣液/洗衣凝珠",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,"普通翻盖保护套,透明/半透明保护壳,单壳（不带盖板）保护套","防摔防磕/保护性强,不易沾指纹/不易显脏,耐用不易坏,轻薄便携,价格合适/性价比高,与平板搭配协调,外观好看/有设计感,材质手感好,颜色选择丰富","防摔防磕/保护性强,价格合适/性价比高,外观好看/有设计感,材质手感好,轻薄便携,颜色选择丰富,不易沾指纹/不易显脏,耐用不易坏,与平板搭配协调",50-79元,肯定会,我已认真阅读,购买意愿: [肯定会购买],吸引力: [非常吸引],"磁吸拆分方便,支撑看剧/学习/办公,价格合适,外观看起来简洁,保护性较好,品牌/品质感较好",我已认真阅读,购买意愿: [肯定会购买],四角气囊防护外显: [比较吸引];侧面直取笔槽: [非常吸引];更丰富、更个性化的配色选择: [非常吸引],愿意多付11-15元,肯定会购买,肯定会购买,可能会购买,-,-,119-129元是我觉得比较合适的价位，139元我觉得有点贵了,我已认真阅读,购买意愿: [肯定会购买],光栅纹理背板的视觉效果: [非常吸引];微磨砂质感: [非常吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [比较吸引],愿意多付6-10元,肯定会购买,可能会购买,说不清,-,-,我觉得129元左右是我心理预期价格，139元以上有点贵了,50.91s,光栅款,升级光栅版看着更高级,有时会,女,25-30岁,企业职员,二线,偏低,单身,广东省,佛山市
66,是,88899739,726476,1024659,"充电宝/移动电源,手机充电线/数据线,平板电脑保护套/壳,鼠标/机械键盘",近12个月内,120–149元,完全由我自己决定购买哪个品牌和产品,Apple（苹果）,以上均无,均未参加过,本科,磁吸不可拆分保护套,"品牌可信/品质稳定,支架稳定/角度好用","品牌可信/品质稳定,支架稳定/角度好用",150-199元,可能会,我已认真阅读,购买意愿: [可能会购买],吸引力: [比较吸引],磁吸拆分方便,我已认真阅读,购买意愿: [可能会购买],四角气囊防护外显: [非常吸引];侧面直取笔槽: [比较吸引];更丰富、更个性化的配色选择: [比较吸引],愿意多付16-20元,肯定会购买,肯定会购买,可能会购买,-,-,保护性强，抗磕碰,我已认真阅读,购买意愿: [可能会购买],光栅纹理背板的视觉效果: [比较吸引];微磨砂质感: [比较吸引];相比普通光面背板更不易沾指纹: [非常吸引];整体看起来更特别/更有设计感: [非常吸引],愿意多付16-20元,肯定会购买,可能会购买,说不清,-,-,防指纹,33.71s,两款都可以，没有明显偏好,功能无明显差异,有时会,男,31-35岁,企业职员,一线,低,"已婚,育婴期,已育,已有房,已有车,孝敬期",北京,北京市
